chain,category_clean,item_name,serve_size_new,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category,serving_size_g
McDondalds,breakfast,Egg McMuffin,136,g,300,13.0,5.0,0.0,260,750,31,4,3,17,Breakfast,4.8 oz (136 g)
McDondalds,breakfast,Egg White Delight,135,g,250,8.0,3.0,0.0,25,770,30,4,3,18,Breakfast,4.8 oz (135 g)
McDondalds,breakfast,Sausage McMuffin,111,g,370,23.0,8.0,0.0,45,780,29,4,2,14,Breakfast,3.9 oz (111 g)
McDondalds,breakfast,Sausage McMuffin with Egg,161,g,450,28.0,10.0,0.0,285,860,30,4,2,21,Breakfast,5.7 oz (161 g)
McDondalds,breakfast,Sausage McMuffin with Egg Whites,161,g,400,23.0,8.0,0.0,50,880,30,4,2,21,Breakfast,5.7 oz (161 g)
McDondalds,breakfast,Steak & Egg McMuffin,185,g,430,23.0,9.0,1.0,300,960,31,4,3,26,Breakfast,6.5 oz (185 g)
McDondalds,breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",150,g,460,26.0,13.0,0.0,250,1300,38,2,3,19,Breakfast,5.3 oz (150 g)
McDondalds,breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",164,g,520,30.0,14.0,0.0,250,1410,43,3,4,19,Breakfast,5.8 oz (164 g)
McDondalds,breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",153,g,410,20.0,11.0,0.0,35,1300,36,2,3,20,Breakfast,5.4 oz (153 g)
McDondalds,breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",167,g,470,25.0,12.0,0.0,35,1420,42,3,4,20,Breakfast,5.9 oz (167 g)
McDondalds,breakfast,Sausage Biscuit (Regular Biscuit),117,g,430,27.0,12.0,0.0,30,1080,34,2,2,11,Breakfast,4.1 oz (117 g)
McDondalds,breakfast,Sausage Biscuit (Large Biscuit),131,g,480,31.0,13.0,0.0,30,1190,39,3,3,11,Breakfast,4.6 oz (131 g)
McDondalds,breakfast,Sausage Biscuit with Egg (Regular Biscuit),163,g,510,33.0,14.0,0.0,250,1170,36,2,2,18,Breakfast,5.7 oz (163 g)
McDondalds,breakfast,Sausage Biscuit with Egg (Large Biscuit),177,g,570,37.0,15.0,0.0,250,1280,42,3,3,18,Breakfast,6.2 oz (177 g)
McDondalds,breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),167,g,460,27.0,12.0,0.0,35,1180,34,2,3,18,Breakfast,5.9 oz (167 g)
McDondalds,breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),181,g,520,32.0,13.0,0.0,35,1290,40,3,3,18,Breakfast,6.4 oz (181 g)
McDondalds,breakfast,Southern Style Chicken Biscuit (Regular Biscuit),143,g,410,20.0,8.0,0.0,30,1180,41,2,3,17,Breakfast,5 oz (143 g)
McDondalds,breakfast,Southern Style Chicken Biscuit (Large Biscuit),157,g,470,24.0,9.0,0.0,30,1290,46,3,4,17,Breakfast,5.5 oz (157 g)
McDondalds,breakfast,Steak & Egg Biscuit (Regular Biscuit),201,g,540,32.0,16.0,1.0,280,1470,38,2,3,25,Breakfast,7.1 oz (201 g)
McDondalds,breakfast,"Bacon, Egg & Cheese McGriddles",174,g,460,21.0,9.0,0.0,250,1250,48,2,15,19,Breakfast,6.1 oz (174 g)
McDondalds,breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",178,g,400,15.0,7.0,0.0,35,1250,47,2,16,20,Breakfast,6.3 oz (178 g)
McDondalds,breakfast,Sausage McGriddles,141,g,420,22.0,8.0,0.0,35,1030,44,2,15,11,Breakfast,5 oz (141 g)
McDondalds,breakfast,"Sausage, Egg & Cheese McGriddles",201,g,550,31.0,12.0,0.0,265,1320,48,2,15,20,Breakfast,7.1 oz (201 g)
McDondalds,breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",205,g,500,26.0,10.0,0.0,50,1320,46,2,15,21,Breakfast,7.2 oz (205 g)
McDondalds,breakfast,"Bacon, Egg & Cheese Bagel",197,g,620,31.0,11.0,0.5,275,1480,57,3,7,30,Breakfast,6.9 oz (197 g)
McDondalds,breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",201,g,570,25.0,9.0,0.5,60,1480,55,3,8,30,Breakfast,7.1 oz (201 g)
McDondalds,breakfast,"Steak, Egg & Cheese Bagel",241,g,670,35.0,13.0,1.5,295,1510,56,3,7,33,Breakfast,8.5 oz (241 g)
McDondalds,breakfast,Big Breakfast (Regular Biscuit),269,g,740,48.0,17.0,0.0,555,1560,51,3,3,28,Breakfast,9.5 oz (269 g)
McDondalds,breakfast,Big Breakfast (Large Biscuit),283,g,800,52.0,18.0,0.0,555,1680,56,4,3,28,Breakfast,10 oz (283 g)
McDondalds,breakfast,Big Breakfast with Egg Whites (Regular Biscuit),272,g,640,37.0,14.0,0.0,35,1590,50,3,3,26,Breakfast,9.6 oz (272 g)
McDondalds,breakfast,Big Breakfast with Egg Whites (Large Biscuit),286,g,690,41.0,14.0,0.0,35,1700,55,4,4,26,Breakfast,10.1 oz (286 g)
McDondalds,breakfast,Big Breakfast with Hotcakes (Regular Biscuit),420,g,1090,56.0,19.0,0.0,575,2150,111,6,17,36,Breakfast,14.8 oz (420 g)
McDondalds,breakfast,Big Breakfast with Hotcakes (Large Biscuit),434,g,1150,60.0,20.0,0.0,575,2260,116,7,17,36,Breakfast,15.3 oz (434 g)
McDondalds,breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),423,g,990,46.0,16.0,0.0,55,2170,110,6,17,35,Breakfast,14.9 oz (423 g)
McDondalds,breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),437,g,1050,50.0,16.0,0.0,55,2290,115,7,18,35,Breakfast,15.4 oz (437 g)
