chain,category_clean,item_name,serve_size,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,calories_kcal_norm,total_fat_norm,saturated_fat_norm,trans_fat_norm,cholesterol_norm,sodium_norm,carbohydrates_norm,dietary_fiber_norm,sugars_norm,protein_norm
McDondalds,breakfast,Egg McMuffin,136.0,g,300,13.0,5.0,0.0,260.0,750.0,31.0,4.0,3.0,17.0,220.59,9.56,3.68,0.0,191.18,551.47,22.79,2.94,2.21,12.5
McDondalds,breakfast,Egg White Delight,135.0,g,250,8.0,3.0,0.0,25.0,770.0,30.0,4.0,3.0,18.0,185.19,5.93,2.22,0.0,18.52,570.37,22.22,2.96,2.22,13.33
McDondalds,breakfast,Sausage McMuffin,111.0,g,370,23.0,8.0,0.0,45.0,780.0,29.0,4.0,2.0,14.0,333.33,20.72,7.21,0.0,40.54,702.7,26.13,3.6,1.8,12.61
McDondalds,breakfast,Sausage McMuffin with Egg,161.0,g,450,28.0,10.0,0.0,285.0,860.0,30.0,4.0,2.0,21.0,279.5,17.39,6.21,0.0,177.02,534.16,18.63,2.48,1.24,13.04
McDondalds,breakfast,Sausage McMuffin with Egg Whites,161.0,g,400,23.0,8.0,0.0,50.0,880.0,30.0,4.0,2.0,21.0,248.45,14.29,4.97,0.0,31.06,546.58,18.63,2.48,1.24,13.04
McDondalds,breakfast,Steak & Egg McMuffin,185.0,g,430,23.0,9.0,1.0,300.0,960.0,31.0,4.0,3.0,26.0,232.43,12.43,4.86,0.54,162.16,518.92,16.76,2.16,1.62,14.05
McDondalds,breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",150.0,g,460,26.0,13.0,0.0,250.0,1300.0,38.0,2.0,3.0,19.0,306.67,17.33,8.67,0.0,166.67,866.67,25.33,1.33,2.0,12.67
McDondalds,breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",164.0,g,520,30.0,14.0,0.0,250.0,1410.0,43.0,3.0,4.0,19.0,317.07,18.29,8.54,0.0,152.44,859.76,26.22,1.83,2.44,11.59
McDondalds,breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",153.0,g,410,20.0,11.0,0.0,35.0,1300.0,36.0,2.0,3.0,20.0,267.97,13.07,7.19,0.0,22.88,849.67,23.53,1.31,1.96,13.07
McDondalds,breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",167.0,g,470,25.0,12.0,0.0,35.0,1420.0,42.0,3.0,4.0,20.0,281.44,14.97,7.19,0.0,20.96,850.3,25.15,1.8,2.4,11.98
