chain,category_clean,item_name,serve_size,serve_size_unit,nutrition_indicator,value_per_serving
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,calories_kcal,100.0
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,total_fat_g,2.5
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,saturated_fat_g,1.5
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,trans_fat_g,0.0
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,cholesterol_mg,10.0
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,sodium_mg,125.0
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,carbohydrates_g,12.0
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,dietary_fiber_g,0.0
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,sugars_g,12.0
McDondalds,beverage,1% Low Fat Milk Jug,227.3,ml,protein_g,8.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,calories_kcal,340.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,total_fat_g,1.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,saturated_fat_g,0.5
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,trans_fat_g,0.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,cholesterol_mg,5.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,sodium_mg,65.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,carbohydrates_g,79.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,dietary_fiber_g,5.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,sugars_g,70.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,protein_g,4.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,calories_kcal,260.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,total_fat_g,1.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,saturated_fat_g,0.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,trans_fat_g,0.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,cholesterol_mg,5.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,sodium_mg,50.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,carbohydrates_g,62.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,dietary_fiber_g,4.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,sugars_g,54.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,protein_g,3.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,calories_kcal,220.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,total_fat_g,0.5
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,saturated_fat_g,0.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,trans_fat_g,0.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,cholesterol_mg,5.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,sodium_mg,40.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,carbohydrates_g,50.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,dietary_fiber_g,3.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,sugars_g,44.0
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,protein_g,2.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,calories_kcal,260.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,total_fat_g,9.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,saturated_fat_g,6.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,trans_fat_g,0.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,cholesterol_mg,35.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,sodium_mg,65.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,carbohydrates_g,43.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,dietary_fiber_g,0.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,sugars_g,42.0
McDondalds,beverage,Caramel Iced Coffee (Large),909.22,ml,protein_g,2.0
McDondalds,beverage,Caramel Iced Coffee (Medium),625.09,ml,calories_kcal,180.0
McDondalds,beverage,Caramel Iced Coffee (Medium),625.09,ml,total_fat_g,7.0
