chain,category_clean,item_name,serve_size,serve_size_unit,nutrition_indicator,value_per_serving
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,calories_kcal,530
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,total_fat_g,15
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,saturated_fat_g,10
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,cholesterol_mg,60
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,sodium_mg,160
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,carbohydrates_g,86
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,dietary_fiber_g,0
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,sugars_g,63
McDondalds,beverage,Vanilla Shake (Small),"340,96",ml,protein_g,11
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,calories_kcal,660
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,total_fat_g,19
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,saturated_fat_g,12
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,cholesterol_mg,75
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,sodium_mg,200
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,carbohydrates_g,109
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,dietary_fiber_g,0
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,sugars_g,81
McDondalds,beverage,Vanilla Shake (Medium),"454,61",ml,protein_g,14
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,calories_kcal,820
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,total_fat_g,23
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,saturated_fat_g,15
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,cholesterol_mg,90
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,sodium_mg,260
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,carbohydrates_g,135
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,dietary_fiber_g,0
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,sugars_g,101
McDondalds,beverage,Vanilla Shake (Large),"625,09",ml,protein_g,18
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,calories_kcal,150
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,total_fat_g,0
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,saturated_fat_g,0
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,cholesterol_mg,0
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,sodium_mg,10
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,carbohydrates_g,36
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,dietary_fiber_g,0
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,sugars_g,36
McDondalds,beverage,Sweet Tea (Small),"454,61",ml,protein_g,1
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,calories_kcal,180
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,total_fat_g,0
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,saturated_fat_g,0
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,cholesterol_mg,0
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,sodium_mg,10
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,carbohydrates_g,45
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,dietary_fiber_g,0
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,sugars_g,45
McDondalds,beverage,Sweet Tea (Medium),"596,67",ml,protein_g,1
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,calories_kcal,220
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,total_fat_g,0
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,saturated_fat_g,0
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,cholesterol_mg,0
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,sodium_mg,10
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,carbohydrates_g,54
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,dietary_fiber_g,0
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,sugars_g,54
McDondalds,beverage,Sweet Tea (Large),"852,39",ml,protein_g,1
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,calories_kcal,110
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,total_fat_g,0
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,saturated_fat_g,0
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,cholesterol_mg,0
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,sodium_mg,5
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,carbohydrates_g,27
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,dietary_fiber_g,0
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,sugars_g,27
McDondalds,beverage,Sweet Tea (Child),"340,96",ml,protein_g,0
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,calories_kcal,550
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,total_fat_g,16
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,saturated_fat_g,10
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,cholesterol_mg,60
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,sodium_mg,160
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,carbohydrates_g,90
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,dietary_fiber_g,0
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,sugars_g,79
McDondalds,beverage,Strawberry Shake (Small),"340,96",ml,protein_g,12
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,calories_kcal,690
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,total_fat_g,20
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,saturated_fat_g,13
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,cholesterol_mg,75
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,sodium_mg,210
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,carbohydrates_g,114
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,dietary_fiber_g,0
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,sugars_g,100
McDondalds,beverage,Strawberry Shake (Medium),"454,61",ml,protein_g,15
